FileName,Name,Category,PubDate,HasDate,NoSources,WordCount,WordsPerSource,NoAuthor,NoImage,NoVideos
file name the txt file is saved in the computer,title of the article,"0 = bad, 1 = good",Year of Date Published,does it have a date listed,Number of Sources Cited,Word Count,scaled average num of words per source,Number of Authors,Number of Images,Number of videos
S0001,200 Proofs the Earth is not a Spinning Ball,0,2019,0,0,19391,19391,1,131,0
S0003,EASY GLOBALIST ARGUMENTS TO REFUTE,0,2015,1,0,4819,4819,1,34,15
S0004,The HOAX of “Climate Change”,0,2022,1,0,263,263,1,0,0
S0005,"A Brief History of China’s Global Warming Hoax, From 1863 to Right Now",0,2023,1,0,1061,1061,1,1,0
S0006,"Experts Say, ‘Climate Change’ Is a Hoax",0,2023,1,0,565,565,1,0,0
S0007,The Fake Scientific Consensus on Climate Change,0,2022,1,0,1476,1476,1,1,0
S0008,"NASA: ""Climate Change"" and Global Warming caused by Changes in Earth's Solar Orbit and Axial Tilt - NOT MAN-MADE CAUSES",0,2019,1,1,1526,763,1,2,0
S0009,Ships appear to sink as they recede past the horizon,0,2019,,0,518,518,1,3,0
S0010,Re: Challenge the Round Earth Model,0,2007,1,0,548,548,1,0,0
S0011,"Gravity, Fleat Eath Wiki",0,2019,0,0,969,969,1,0,0
S0012,Equivalence Principle,0,2019,0,0,951,951,1,0,0
S0013,The Lunar Eclipse,0,2019,0,0,452,452,1,0,0
S0014,Neo Classical Model,0,2019,0,0,145,145,1,0,0
S0015,Davis Model,0,2019,0,0,1388,1388,1,5,0
S0016,Electromagnetic Accelerator,0,2019,0,0,263,263,1,0,0
S0017,Experiments on Lake Michigan,0,2019,0,0,2887,2887,1,2,0
S0018,The Earth Is a Shell; the Sun Is the Center,0,2019,0,0,3673,3673,1,1,0
S0019,Cause of Variation of the Pendulum,0,2019,0,0,905,905,1,0,0
S0020,The Wonderful Properties of Radium,0,2019,0,0,1328,1328,1,0,0
S0021,Why the Earth May Really Be Flat,0,2019,0,2,1249,416,1,0,0
S0022,ZETETIC AND THEORETIC DEFINED AND COMPARED.,0,2019,0,0,1988,1988,1,0,0
S0023,"EXPERIMENTS DEMONSTRATING THE TRUE FORM OF STANDING WATER, AND PROVING THE EARTH TO BE A PLANE",0,2019,0,0,491,491,1,2,0
S0024,THE EARTH NO AXIAL OR ORBITAL MOTION,0,2019,0,0,6870,6870,1,8,0
S0025,THE TRUE FORM AND MAGNITUDE OF THE EARTH,0,2019,0,0,2552,2552,1,3,0
S0026,THE TRUE DISTANCE OF THE SUN.,0,2019,0,0,1343,1343,1,3,0
S0027,"THE SUN'S MOTION, CONCENTRIC WITH THE POLAR CENTRE.",0,2019,0,0,745,745,1,1,0
S0028,THE SUN'S PATH EXPANDS AND CONTRACTS DAILY FOR SIX MONTHS ALTERNATELY.,0,2019,0,0,520,520,1,1,0
S0029,"CAUSE OF DAY AND NIGHT, WINTER AND SUMMER; AND THE LONG ALTERNATIONS OF LIGHT AND DARKNESS AT THE NORTHERN CENTRE.",0,2019,0,0,3358,3358,1,2,0
S0030,CAUSE OF SUNRISE AND SUNSET.,0,2019,0,0,873,873,1,3,0
S0031,CAUSE OF SUN APPEARING LARGER WHEN RISING AND SETTING THAN AT NOONDAY.,0,2019,0,0,472,472,1,1,0
S0032,CAUSE OF SOLAR AND LUNAR ECLIPSES.,0,2019,0,0,7498,7498,1,1,0
S0033,THE CAUSE OF TIDES.,0,2019,0,0,4728,4728,1,3,0
S0034,Flat Earth FAQ,0,2016,1,0,1200,1200,1,2,0
S0035,THE EARTH'S TRUE POSITION IN THE UNIVERSE; COMPARATIVELY RECENT FORMATION; PRESENT CHEMICAL CONDITION; AND APPROACHING DESTRUCTION BY FIRE.,0,2019,0,0,6398,6398,1,2,0
S0036,"EXAMINATION OF THE SO-CALLED ""PROOFS"" OF THE EARTH'S ROTUNDITY.--WHY A SHIP'S HULL DISAPPEARS BEFORE THE MAST-HEAD.",0,2019,0,0,2792,2792,1,13,0
S0037,GENERAL SUMMARY--APPLICATION--CUI BONO.,0,2019,0,0,14985,14985,1,0,0
S0038,RETRACTED ARTICLE: Mass–Energy Equivalence Extension onto a Superfluid Quantum Vacuum,0,2019,1,26,5361,199,1,6,0
S0039,RETRACTED ARTICLE: A critical assessment of extreme events trends in times of global warming,0,2022,1,82,8973,108,4,11,0
S0040,Anthropogenic Radio-Frequency Electromagnetic Fields Elicit Neuropathic Pain in an Amputation Model,0,2016,1,39,7767,194,5,16,0
S0041,Man-Made Climate Change Does not Exist!,0,2019,1,8,3292,366,1,13,0
S0042,The Myth of Dangerous Human-Caused Climate Change,0,2007,1,79,11704,146,1,12,0
S0043,"Mike Wallace transcript, 10/31/23, Solar forcing accounts for most if not all climate change",0,2023,1,0,10169,10169,2,0,0
S0044,"Transcript of a Dave Collum interview, 10/24/23",0,2023,1,0,21640,21640,2,0,0
S0045,"Discovery: Increased OceanEvaporation Mitigates Ocean RiseDue to Melting Glaciers",0,2019,0,5,1047,175,1,16,0
S0046,"2066 Athlete Cardiac Arrests or Serious Issues, 1446 of Them Dead, Since COVID Injection",0,2019,0,0,2988,2988,1,2,0
S0047,Global Warming Science Errors,0,2019,0,5,1335,223,1,4,0
S0048,Equilibrium,0,2019,0,0,2326,2326,1,5,0
S0049,Radiative Transfer Equations,0,2019,0,0,2095,2095,1,6,0
S0050,Fudge Factor for so-called Settled Science,0,2019,0,8,3965,441,1,8,0
S0051,Saturation,0,2019,0,0,1396,1396,1,7,0
S0052,Factor Of 40,0,2019,0,0,518,518,1,0,0
S0053,Trapping Heat,0,2019,0,0,2414,2414,1,8,0
S0054,Dilution Factor,0,2019,0,0,1034,1034,1,6,0
S0055,The Stefan-Boltzmann Constant is in Error,0,2019,0,0,2928,2928,1,5,0
S0056,Secondary Effects Are An Impossibility,0,2019,0,0,937,937,1,3,0
S0057,Temperature Effects cannot be Determined from Radiative Transfer Equations,0,2019,0,0,2565,2565,1,7,0
S0058,Temperature Measurements are Fake,0,2019,0,17,1973,110,1,5,0
